ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications - Age Wise Wise,RPO Dehradun,Between_36_to_60,458,1987,21983,29:09.8
Applications - Age Wise Wise,RPO Dehradun,GreaterThan60,143,571,6459,29:09.8
Applications - Age Wise Wise,RPO Dehradun,LessThan18,193,750,8253,29:09.8
Application Fee Online Payment - Mode Wise,RPO Dehradun,Challan,47350,236500,3411450,29:09.8
Application Fee Online Payment - Mode Wise,RPO Dehradun,Credit/ Debit Card,1457550,6650650,72813950,29:09.8
Application Fee Online Payment - Mode Wise,RPO Dehradun,Online,752850,3285750,43221100,29:09.8
Applications Received - Service Wise,RPO Dehradun,FRESH,1549,6249,67115,29:09.8
Applications Received - Service Wise,RPO Dehradun,PCC,67,375,4192,29:09.8
Applications Received - Service Wise,RPO Dehradun,REISSUE,495,1811,19699,29:09.8
Applications Granted - PV Mode wise,RPO Dehradun,No Verification,50,369,4397,29:09.8
Applications Granted - PV Mode wise,RPO Dehradun,Post Verification,86,638,8516,29:09.8
Applications Granted - PV Mode wise,RPO Dehradun,Pre Verification,322,5345,69294,29:09.8
PV Processing Time,RPO Dehradun,More than 21 Days,137,654,9693,29:09.8
PV Processing Time,RPO Dehradun,Within 21 Days,1460,7157,69890,29:09.8
Applications Received - Scheme wise,RPO Delhi,Normal,8682,42993,509807,29:09.8
Applications Received - Scheme wise,RPO Delhi,Tatkaal,932,4142,56603,29:09.8
Applications Received - Gender wise,RPO Delhi,FEMALE,3840,18253,228179,29:09.8
Applications Received - Gender wise,RPO Delhi,MALE,5770,28861,338093,29:09.8
Applications with Aadhaar Number,RPO Delhi,Count of Applications,9611,47118,566301,29:09.8
Applications - Education Wise,RPO Delhi,10TH PASS AND ABOVE,2625,13351,164787,29:09.8
Applications - Education Wise,RPO Delhi,GRADUATE AND ABOVE,4419,21715,259227,29:09.8
Applications - Age Wise Wise,RPO Delhi,Between_18_to_35,4605,23263,271122,29:09.8
Applications - Age Wise Wise,RPO Delhi,Between_36_to_60,2612,12960,161817,29:09.8
Applications - Age Wise Wise,RPO Delhi,GreaterThan60,686,3465,41037,29:09.8
Applications - Age Wise Wise,RPO Delhi,LessThan18,1708,7430,92325,29:09.8
Application Fee Online Payment - Mode Wise,RPO Delhi,Challan,99050,554600,8952900,29:09.8
Application Fee Online Payment - Mode Wise,RPO Delhi,Credit/ Debit Card,10111150,45056950,564605600,29:09.8
Application Fee Online Payment - Mode Wise,RPO Delhi,Online,1829200,8698950,113212700,29:09.8
Applications Received - Service Wise,RPO Delhi,FRESH,5487,27734,326780,29:09.8
Applications Received - Service Wise,RPO Delhi,PCC,301,1465,16516,29:09.8
Applications Received - Service Wise,RPO Delhi,REISSUE,3807,17869,222488,29:09.8
Applications Granted - PV Mode wise,RPO Delhi,No Verification,344,1601,24782,29:09.8
Applications Granted - PV Mode wise,RPO Delhi,Post Verification,2104,10044,122422,29:09.8
Applications Granted - PV Mode wise,RPO Delhi,Pre Verification,7861,33099,363928,29:09.8
PV Processing Time,RPO Delhi,More than 21 Days,568,1565,9815,29:09.8
PV Processing Time,RPO Delhi,Within 21 Days,6745,36024,395839,29:09.8
Applications Received - Scheme wise,RPO Ghaziabad,Normal,4583,23682,220269,29:09.8
Applications Received - Scheme wise,RPO Ghaziabad,Tatkaal,176,898,11213,29:09.8
Applications Received - Gender wise,RPO Ghaziabad,FEMALE,1610,7888,77568,29:09.8
Applications Received - Gender wise,RPO Ghaziabad,MALE,3149,16692,153888,29:09.8
Applications with Aadhaar Number,RPO Ghaziabad,Count of Applications,4759,24580,231469,29:09.8
Applications - Education Wise,RPO Ghaziabad,10TH PASS AND ABOVE,1149,6055,59209,29:09.8
Applications - Education Wise,RPO Ghaziabad,GRADUATE AND ABOVE,1602,8636,86564,29:09.8
Applications - Age Wise Wise,RPO Ghaziabad,Between_18_to_35,2609,13565,122644,29:09.8
Applications - Age Wise Wise,RPO Ghaziabad,Between_36_to_60,1259,6479,64407,29:09.8
Applications - Age Wise Wise,RPO Ghaziabad,GreaterThan60,317,1748,16427,29:09.8
Applications - Age Wise Wise,RPO Ghaziabad,LessThan18,574,2788,27991,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ghaziabad,Challan,86550,508500,6732000,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ghaziabad,Credit/ Debit Card,3666050,18299300,194638200,29:09.8
Application Fee Online Payment - Mode Wise,RPO Ghaziabad,Online,1552050,8050800,86680550,29:09.8
Applications Received - Service Wise,RPO Ghaziabad,FRESH,3442,17816,161366,29:09.8
Applications Received - Service Wise,RPO Ghaziabad,PCC,127,678,6978,29:09.8
Applications Received - Service Wise,RPO Ghaziabad,REISSUE,1187,6075,63040,29:09.8
Applications Granted - PV Mode wise,RPO Ghaziabad,No Verification,275,1231,13887,29:09.8
Applications Granted - PV Mode wise,RPO Ghaziabad,Post Verification,623,2879,34204,29:09.8
Applications Granted - PV Mode wise,RPO Ghaziabad,Pre Verification,3478,16491,174812,29:09.8
PV Processing Time,RPO Ghaziabad,More than 21 Days,438,1553,21997,29:09.8
PV Processing Time,RPO Ghaziabad,Within 21 Days,2855,17485,164136,29:09.8
Applications Received - Scheme wise,RPO Goa,Normal,1013,4398,49077,29:09.8
Applications Received - Scheme wise,RPO Goa,Tatkaal,35,142,1296,29:09.8
Applications Received - Gender wise,RPO Goa,FEMALE,435,1915,21182,29:09.8
Applications Received - Gender wise,RPO Goa,MALE,562,2423,26601,29:09.8
Applications with Aadhaar Number,RPO Goa,Count of Applications,997,4338,47783,29:09.8
Applications - Education Wise,RPO Goa,10TH PASS AND ABOVE,394,1776,19654,29:09.8
Applications - Education Wise,RPO Goa,GRADUATE AND ABOVE,265,1140,11725,29:09.8
Applications - Age Wise Wise,RPO Goa,Between_18_to_35,398,2035,20751,29:09.8
Applications - Age Wise Wise,RPO Goa,Between_36_to_60,300,1294,14821,29:09.8
Applications - Age Wise Wise,RPO Goa,GreaterThan60,76,376,4481,29:09.8
Applications - Age Wise Wise,RPO Goa,LessThan18,223,633,7730,29:09.8
Application Fee Online Payment - Mode Wise,RPO Goa,Challan,200300,619750,9066000,29:09.8
Application Fee Online Payment - Mode Wise,RPO Goa,Credit/ Debit Card,991600,4000950,43790750,29:09.8
Application Fee Online Payment - Mode Wise,RPO Goa,Online,317050,1536650,17061650,29:09.8
Applications Received - Service Wise,RPO Goa,FRESH,432,2099,23544,29:09.8
Applications Received - Service Wise,RPO Goa,PCC,82,351,2842,29:09.8
